Name,Date,Price
Istanboel,12–20 jan 2024,60 euro
Milaan,30 dec 2023 – 8 jan 2024,34 euro
Athene,21–29 jan 2024,45 euro
Mykonos,13–20 apr 2024,81 euro
Santorini,19–26 apr 2024,120 euro
Boedapest,31 dec 2023 – 9 jan 2024,41 euro
Split,13–19 apr 2024,52 euro
Venetië,31 dec 2023 – 8 jan 2024,38 euro
Dubrovnik,18–25 mrt 2024,80 euro
Barcelona,6–12 jan 2024,36 euro
Zürich,5–11 feb 2024,67 euro
Lissabon,8–17 jan 2024,39 euro
Bordeaux,31 dec 2023 – 8 jan 2024,35 euro
Rome,4–10 jan 2024,38 euro
Nice,7–14 jan 2024,40 euro
Amsterdam,29 feb – 8 mrt 2024,75 euro
Antalya,24 feb – 2 mrt 2024,42 euro
Sevilla,5–12 jan 2024,38 euro
Dublin,30 dec 2023 – 5 jan 2024,35 euro
Madrid,4–10 jan 2024,41 euro
Manchester,13–19 mei 2024,81 euro
Parijs,25–31 jan 2024,59 euro
Berlijn,7–13 jan 2024,47 euro
Krakau,4–12 mrt 2024,31 euro
Praag,4–10 jan 2024,41 euro
Wenen,4–10 jan 2024,38 euro
Florence,4–13 jan 2024,74 euro
München,27 jan – 3 feb 2024,80 euro
Porto,4–10 jan 2024,38 euro
Napels,5–13 jan 2024,40 euro
Valencia,3–12 feb 2024,35 euro
Salzburg,8–17 jan 2024,42 euro
Hamburg,1–9 jan 2024,52 euro
Frankfurt am Main,15–21 feb 2024,122 euro
Ljubljana,6–13 jan 2024,45 euro
Granada,24 feb – 2 mrt 2024,110 euro
Lyon,11–18 jan 2024,29 euro
Keulen,11–17 jan 2024,40 euro
Málaga,13–19 jan 2024,29 euro
Marseille,8–14 jan 2024,41 euro
